Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Age_cat,is_Male,Risk_Numeric
64.5,male,2,1,0,0,1169.0,6.0,5,good,1,1,1
22.0,female,2,1,0,1,5951.0,42.0,5,bad,2,0,0
49.0,male,1,1,0,0,2096.0,12.0,3,good,0,1,1
45.0,male,2,0,0,0,7882.0,42.0,4,good,0,1,1
53.0,male,2,0,0,0,4870.0,24.0,1,bad,0,1,0
35.0,male,1,0,0,0,7882.375,36.0,3,good,3,1,1
53.0,male,2,1,2,0,2835.0,24.0,4,good,0,1,1
35.0,male,3,2,0,1,6948.0,36.0,1,good,3,1,1
61.0,male,1,1,3,0,3059.0,12.0,5,good,1,1,1
28.0,male,3,1,0,1,5234.0,30.0,1,bad,3,1,0
25.0,female,2,2,0,1,1295.0,12.0,1,bad,2,0,0
24.0,female,2,2,0,0,4308.0,42.0,0,bad,2,0,0
22.0,female,2,1,0,1,1567.0,12.0,5,good,2,0,1
60.0,male,1,1,0,0,1199.0,24.0,1,bad,0,1,0
28.0,female,2,2,0,0,1403.0,15.0,1,good,3,0,1
32.0,female,1,1,1,0,1282.0,24.0,5,bad,3,0,0
53.0,male,2,1,0,0,2424.0,24.0,5,good,0,1,1
25.0,male,2,1,0,0,7882.375,30.0,0,good,2,1,1
44.0,female,3,0,0,1,7882.375,24.0,1,bad,0,0,0
31.0,male,2,1,2,0,3430.0,24.0,5,good,3,1,1
48.0,male,2,1,0,0,2134.0,9.0,1,good,0,1,1
44.0,male,2,2,2,0,2647.0,6.0,5,good,0,1,1
48.0,male,1,2,0,0,2241.0,10.0,1,good,0,1,1
44.0,male,2,1,1,1,1804.0,12.0,1,good,0,1,1
26.0,male,2,1,0,0,2069.0,10.0,4,good,3,1,1
36.0,male,1,1,0,0,1374.0,6.0,4,good,0,1,1
39.0,male,1,1,0,0,426.0,6.0,5,good,0,1,1
42.0,female,2,2,3,2,409.0,12.0,5,good,0,0,1
34.0,male,2,1,0,1,2415.0,7.0,5,good,3,1,1
63.0,male,2,1,0,0,6836.0,42.0,0,bad,1,1,0
36.0,male,2,1,3,1,1913.0,18.0,0,good,0,1,1
27.0,male,2,1,0,0,4020.0,24.0,4,good,3,1,1
30.0,male,2,1,1,1,5866.0,18.0,1,good,3,1,1
57.0,male,1,2,0,0,1264.0,12.0,0,good,0,1,1
33.0,female,3,1,0,2,1474.0,12.0,4,good,3,0,1
25.0,male,1,1,0,1,4746.0,42.0,5,bad,2,1,0
31.0,male,2,0,0,0,6110.0,42.0,3,good,3,1,1
37.0,male,2,1,0,2,2100.0,18.0,5,bad,0,1,0
37.0,male,2,1,0,2,1225.0,10.0,2,good,0,1,1
24.0,male,2,1,0,1,458.0,9.0,5,good,2,1,1
30.0,male,3,1,2,0,2333.0,30.0,5,good,3,1,1
26.0,male,2,1,2,1,1158.0,12.0,5,good,3,1,1
44.0,male,1,1,0,1,6204.0,18.0,6,good,0,1,1
24.0,male,2,2,1,0,6187.0,30.0,1,good,2,1,1
58.0,female,1,0,0,0,6143.0,42.0,1,bad,0,0,0
35.0,female,3,1,0,0,1393.0,11.0,1,good,3,0,1
39.0,male,2,1,2,0,2299.0,36.0,5,good,0,1,1
23.0,female,0,2,2,0,1352.0,6.0,1,good,2,0,1
39.0,male,1,1,0,0,7228.0,11.0,1,good,0,1,1
28.0,female,2,1,1,0,2073.0,12.0,5,good,3,0,1
29.0,male,1,1,0,1,2333.0,24.0,4,good,3,1,1
30.0,male,3,1,0,1,5965.0,27.0,1,good,3,1,1
25.0,male,2,1,0,0,1262.0,12.0,5,good,2,1,1
31.0,male,2,1,0,0,3378.0,18.0,1,good,3,1,1
57.0,male,2,0,0,1,2225.0,36.0,1,bad,0,1,0
26.0,male,1,1,0,0,783.0,6.0,1,good,3,1,1
52.0,male,3,1,0,1,6468.0,12.0,5,bad,0,1,0
31.0,female,2,1,0,0,7882.375,36.0,5,good,3,0,1
23.0,female,3,1,0,2,1961.0,18.0,1,good,2,0,1
23.0,female,1,2,0,0,6229.0,36.0,4,bad,2,0,0
27.0,male,2,1,0,1,1391.0,9.0,0,good,3,1,1
50.0,male,2,1,0,1,1537.0,15.0,5,good,0,1,1
61.0,male,3,0,0,1,1953.0,36.0,0,bad,1,1,0
25.0,male,2,1,0,1,7882.375,42.0,0,bad,2,1,0
26.0,female,2,1,0,0,3181.0,24.0,5,good,3,0,1
48.0,male,2,1,0,0,5190.0,27.0,6,good,0,1,1
29.0,female,2,1,0,0,2171.0,12.0,5,good,3,0,1
22.0,male,2,1,3,1,1007.0,12.0,1,good,2,1,1
37.0,male,2,0,0,0,1819.0,36.0,3,bad,0,1,0
25.0,female,2,1,0,0,2394.0,36.0,5,good,2,0,1
30.0,female,2,1,0,0,7882.375,36.0,1,good,3,0,1
46.0,male,1,2,0,0,730.0,7.0,5,good,0,1,1
51.0,male,3,0,0,0,1164.0,8.0,7,good,0,1,1
